id	preferredName	entityType	label	country	street	street	streetNumber	addressSource	latitude	longitude	coordinatesSource	dateOfEstablishment	dateOfEstablishmentSource	dateOfTermination	dateOfTerminationSource	dateOfEvent	dateOfEventSource	sameAsName	sameAsURL	biographicalOrHistoricalInformation	biographicalOrHistoricalInformationSource	depictionName	depictionText	depictionCeator	depictionPublisher	depictionSource	depictionLicense	depictionLicenseURI
	Ailbouts Konservatorium		conservatory		Uhlandstraße	Uhlandstraße	95		52.48672964418304	13.322255603294371	K4, 4145, 1935.										1911							
	Ailbouts Konservatorium		conservatory		Gasteinerstraße	Gasteinerstraße	9		52.48778744442092	13.322091589533292	K4, 4145, 1935.										1914							
	Akademie für höheres Klavierspiel		conservatory		Uhlandstraße	Uhlandstraße	159		52.49890755460291	13.324868116796775	K4, 4145, 1935.										1909, 1911							
	Akademie für Musik John Petersen		conservatory		Nürnbergerstraße	Nürnbergerstraße	24a		52.501125868495116	13.336941748435143	K4, 4145, 1931	1896									1911, 1914							
	Akademie für Musik John Petersen		conservatory		Rheinstraße	Rheinstraße	65		52.471047574915985	13.335076074058966	K4, 4141, 1931.										1914							
	Akademische Musikschule		conservatory		Kleistraße	Kleistraße	4		52.50034701858448	13.35133562439579	Straube, III H, 1910										1911							
	Akademische Musikschule		conservatory		Lutherstraße 12	Lutherstraße 12	12		52.50091095828059	13.345709523620894	K4, 4138, 1933										1914							
	Benda‘sches Konservatorium der Musik und musikpädagogisches Seminar		conservatory		Berlinerstraße	Berlinerstraße	111		52.517521566199534	13.305502629479443	K4, 424, 1934	1890									1911, 1914							
	Berliner Konservatorium		conservatory		Bülowstraße	Bülowstraße	2		52.49897579171811	13.355050561627849	K4, 4138, 1933										1909							
	Berliner Konservatorium		conservatory		Friedrich-Wilhelm-Platz	Friedrich-Wilhelm-Platz	2		52.473091017598925	13.327662585895663	K4, 414, 1931										1914							
	Berliner Konservatorium		conservatory		Alt-Moabit	Alt-Moabit	88		52.52513690347332	13.343426104973998	Straube, IV C, 1910										1914							
	Berliner Konservatorium		conservatory		Gaudystraße	Gaudystraße	40		52.54651583837365	13.411860102345788	Straube, IV L, 1910										1914							
	Böhmertsches Konservatorium der Musik		conservatory		Breitestraße	Breitestraße	31		52.56928680640469	13.404816246841976	K4, 4336, 1926										1911, 1914							
